Count_bfp_objects,Count_gfp_objects,FileName_bfp,FileName_gfp,ImageNumber
351.0,199.0,"B10_-1_3_1_Stitched[DAPI 377,447]_001.tif","B10_-1_2_1_Stitched[GFP 469,525]_001.tif",1
432.0,157.0,"B10_-1_3_1_Stitched[DAPI 377,447]_002.tif","B10_-1_2_1_Stitched[GFP 469,525]_002.tif",2
445.0,188.0,"B10_-1_3_1_Stitched[DAPI 377,447]_003.tif","B10_-1_2_1_Stitched[GFP 469,525]_003.tif",3
490.0,213.0,"B10_-1_3_1_Stitched[DAPI 377,447]_004.tif","B10_-1_2_1_Stitched[GFP 469,525]_004.tif",4
514.0,215.0,"B10_-1_3_1_Stitched[DAPI 377,447]_005.tif","B10_-1_2_1_Stitched[GFP 469,525]_005.tif",5
528.0,226.0,"B10_-1_3_1_Stitched[DAPI 377,447]_006.tif","B10_-1_2_1_Stitched[GFP 469,525]_006.tif",6
548.0,231.0,"B10_-1_3_1_Stitched[DAPI 377,447]_007.tif","B10_-1_2_1_Stitched[GFP 469,525]_007.tif",7
600.0,264.0,"B10_-1_3_1_Stitched[DAPI 377,447]_008.tif","B10_-1_2_1_Stitched[GFP 469,525]_008.tif",8
648.0,289.0,"B10_-1_3_1_Stitched[DAPI 377,447]_009.tif","B10_-1_2_1_Stitched[GFP 469,525]_009.tif",9
707.0,320.0,"B10_-1_3_1_Stitched[DAPI 377,447]_010.tif","B10_-1_2_1_Stitched[GFP 469,525]_010.tif",10
776.0,370.0,"B10_-1_3_1_Stitched[DAPI 377,447]_011.tif","B10_-1_2_1_Stitched[GFP 469,525]_011.tif",11
858.0,415.0,"B10_-1_3_1_Stitched[DAPI 377,447]_012.tif","B10_-1_2_1_Stitched[GFP 469,525]_012.tif",12
941.0,450.0,"B10_-1_3_1_Stitched[DAPI 377,447]_013.tif","B10_-1_2_1_Stitched[GFP 469,525]_013.tif",13
1033.0,504.0,"B10_-1_3_1_Stitched[DAPI 377,447]_014.tif","B10_-1_2_1_Stitched[GFP 469,525]_014.tif",14
1190.0,549.0,"B10_-1_3_1_Stitched[DAPI 377,447]_015.tif","B10_-1_2_1_Stitched[GFP 469,525]_015.tif",15
1304.0,602.0,"B10_-1_3_1_Stitched[DAPI 377,447]_016.tif","B10_-1_2_1_Stitched[GFP 469,525]_016.tif",16
1470.0,660.0,"B10_-1_3_1_Stitched[DAPI 377,447]_017.tif","B10_-1_2_1_Stitched[GFP 469,525]_017.tif",17
1602.0,724.0,"B10_-1_3_1_Stitched[DAPI 377,447]_018.tif","B10_-1_2_1_Stitched[GFP 469,525]_018.tif",18
1738.0,771.0,"B10_-1_3_1_Stitched[DAPI 377,447]_019.tif","B10_-1_2_1_Stitched[GFP 469,525]_019.tif",19
1970.0,848.0,"B10_-1_3_1_Stitched[DAPI 377,447]_020.tif","B10_-1_2_1_Stitched[GFP 469,525]_020.tif",20
2211.0,899.0,"B10_-1_3_1_Stitched[DAPI 377,447]_021.tif","B10_-1_2_1_Stitched[GFP 469,525]_021.tif",21
2298.0,969.0,"B10_-1_3_1_Stitched[DAPI 377,447]_022.tif","B10_-1_2_1_Stitched[GFP 469,525]_022.tif",22
2548.0,994.0,"B10_-1_3_1_Stitched[DAPI 377,447]_023.tif","B10_-1_2_1_Stitched[GFP 469,525]_023.tif",23
2734.0,1010.0,"B10_-1_3_1_Stitched[DAPI 377,447]_024.tif","B10_-1_2_1_Stitched[GFP 469,525]_024.tif",24
