Count_bfp_objects,Count_gfp_objects,FileName_bfp,FileName_gfp,ImageNumber
65.0,427.0,"B10_-1_3_1_Stitched[DAPI 377,447]_001.tif","B10_-1_2_1_Stitched[GFP 469,525]_001.tif",1
63.0,518.0,"B10_-1_3_1_Stitched[DAPI 377,447]_002.tif","B10_-1_2_1_Stitched[GFP 469,525]_002.tif",2
61.0,584.0,"B10_-1_3_1_Stitched[DAPI 377,447]_003.tif","B10_-1_2_1_Stitched[GFP 469,525]_003.tif",3
63.0,603.0,"B10_-1_3_1_Stitched[DAPI 377,447]_004.tif","B10_-1_2_1_Stitched[GFP 469,525]_004.tif",4
63.0,643.0,"B10_-1_3_1_Stitched[DAPI 377,447]_005.tif","B10_-1_2_1_Stitched[GFP 469,525]_005.tif",5
77.0,698.0,"B10_-1_3_1_Stitched[DAPI 377,447]_006.tif","B10_-1_2_1_Stitched[GFP 469,525]_006.tif",6
126.0,762.0,"B10_-1_3_1_Stitched[DAPI 377,447]_007.tif","B10_-1_2_1_Stitched[GFP 469,525]_007.tif",7
106.0,891.0,"B10_-1_3_1_Stitched[DAPI 377,447]_008.tif","B10_-1_2_1_Stitched[GFP 469,525]_008.tif",8
93.0,972.0,"B10_-1_3_1_Stitched[DAPI 377,447]_009.tif","B10_-1_2_1_Stitched[GFP 469,525]_009.tif",9
126.0,1028.0,"B10_-1_3_1_Stitched[DAPI 377,447]_010.tif","B10_-1_2_1_Stitched[GFP 469,525]_010.tif",10
100.0,1127.0,"B10_-1_3_1_Stitched[DAPI 377,447]_011.tif","B10_-1_2_1_Stitched[GFP 469,525]_011.tif",11
121.0,1325.0,"B10_-1_3_1_Stitched[DAPI 377,447]_012.tif","B10_-1_2_1_Stitched[GFP 469,525]_012.tif",12
120.0,1323.0,"B10_-1_3_1_Stitched[DAPI 377,447]_013.tif","B10_-1_2_1_Stitched[GFP 469,525]_013.tif",13
125.0,1563.0,"B10_-1_3_1_Stitched[DAPI 377,447]_014.tif","B10_-1_2_1_Stitched[GFP 469,525]_014.tif",14
135.0,1578.0,"B10_-1_3_1_Stitched[DAPI 377,447]_015.tif","B10_-1_2_1_Stitched[GFP 469,525]_015.tif",15
212.0,1681.0,"B10_-1_3_1_Stitched[DAPI 377,447]_016.tif","B10_-1_2_1_Stitched[GFP 469,525]_016.tif",16
143.0,1783.0,"B10_-1_3_1_Stitched[DAPI 377,447]_017.tif","B10_-1_2_1_Stitched[GFP 469,525]_017.tif",17
