Count_bfp_objects,Count_gfp_objects,FileName_bfp,FileName_gfp,ImageNumber
554.0,132.0,"B10_-1_3_1_Stitched[DAPI 377,447]_001.tif","B10_-1_2_1_Stitched[GFP 469,525]_001.tif",1
712.0,4.0,"B10_-1_3_1_Stitched[DAPI 377,447]_002.tif","B10_-1_2_1_Stitched[GFP 469,525]_002.tif",2
725.0,3.0,"B10_-1_3_1_Stitched[DAPI 377,447]_003.tif","B10_-1_2_1_Stitched[GFP 469,525]_003.tif",3
759.0,2.0,"B10_-1_3_1_Stitched[DAPI 377,447]_004.tif","B10_-1_2_1_Stitched[GFP 469,525]_004.tif",4
819.0,2.0,"B10_-1_3_1_Stitched[DAPI 377,447]_005.tif","B10_-1_2_1_Stitched[GFP 469,525]_005.tif",5
835.0,2.0,"B10_-1_3_1_Stitched[DAPI 377,447]_006.tif","B10_-1_2_1_Stitched[GFP 469,525]_006.tif",6
899.0,1.0,"B10_-1_3_1_Stitched[DAPI 377,447]_007.tif","B10_-1_2_1_Stitched[GFP 469,525]_007.tif",7
1026.0,1.0,"B10_-1_3_1_Stitched[DAPI 377,447]_008.tif","B10_-1_2_1_Stitched[GFP 469,525]_008.tif",8
1047.0,2.0,"B10_-1_3_1_Stitched[DAPI 377,447]_009.tif","B10_-1_2_1_Stitched[GFP 469,525]_009.tif",9
1222.0,2.0,"B10_-1_3_1_Stitched[DAPI 377,447]_010.tif","B10_-1_2_1_Stitched[GFP 469,525]_010.tif",10
1376.0,4.0,"B10_-1_3_1_Stitched[DAPI 377,447]_011.tif","B10_-1_2_1_Stitched[GFP 469,525]_011.tif",11
1506.0,5.0,"B10_-1_3_1_Stitched[DAPI 377,447]_012.tif","B10_-1_2_1_Stitched[GFP 469,525]_012.tif",12
1663.0,6.0,"B10_-1_3_1_Stitched[DAPI 377,447]_013.tif","B10_-1_2_1_Stitched[GFP 469,525]_013.tif",13
1770.0,7.0,"B10_-1_3_1_Stitched[DAPI 377,447]_014.tif","B10_-1_2_1_Stitched[GFP 469,525]_014.tif",14
1995.0,9.0,"B10_-1_3_1_Stitched[DAPI 377,447]_015.tif","B10_-1_2_1_Stitched[GFP 469,525]_015.tif",15
2135.0,11.0,"B10_-1_3_1_Stitched[DAPI 377,447]_016.tif","B10_-1_2_1_Stitched[GFP 469,525]_016.tif",16
2417.0,14.0,"B10_-1_3_1_Stitched[DAPI 377,447]_017.tif","B10_-1_2_1_Stitched[GFP 469,525]_017.tif",17
2691.0,16.0,"B10_-1_3_1_Stitched[DAPI 377,447]_018.tif","B10_-1_2_1_Stitched[GFP 469,525]_018.tif",18
2880.0,16.0,"B10_-1_3_1_Stitched[DAPI 377,447]_019.tif","B10_-1_2_1_Stitched[GFP 469,525]_019.tif",19
3176.0,21.0,"B10_-1_3_1_Stitched[DAPI 377,447]_020.tif","B10_-1_2_1_Stitched[GFP 469,525]_020.tif",20
3449.0,18.0,"B10_-1_3_1_Stitched[DAPI 377,447]_021.tif","B10_-1_2_1_Stitched[GFP 469,525]_021.tif",21
3821.0,23.0,"B10_-1_3_1_Stitched[DAPI 377,447]_022.tif","B10_-1_2_1_Stitched[GFP 469,525]_022.tif",22
4123.0,21.0,"B10_-1_3_1_Stitched[DAPI 377,447]_023.tif","B10_-1_2_1_Stitched[GFP 469,525]_023.tif",23
4491.0,32.0,"B10_-1_3_1_Stitched[DAPI 377,447]_024.tif","B10_-1_2_1_Stitched[GFP 469,525]_024.tif",24
4636.0,26.0,"B10_-1_3_1_Stitched[DAPI 377,447]_025.tif","B10_-1_2_1_Stitched[GFP 469,525]_025.tif",25
531.0,148.0,"B11_-1_3_1_Stitched[DAPI 377,447]_001.tif","B11_-1_2_1_Stitched[GFP 469,525]_001.tif",26
701.0,16.0,"B11_-1_3_1_Stitched[DAPI 377,447]_002.tif","B11_-1_2_1_Stitched[GFP 469,525]_002.tif",27
701.0,4.0,"B11_-1_3_1_Stitched[DAPI 377,447]_003.tif","B11_-1_2_1_Stitched[GFP 469,525]_003.tif",28
685.0,6.0,"B11_-1_3_1_Stitched[DAPI 377,447]_004.tif","B11_-1_2_1_Stitched[GFP 469,525]_004.tif",29
727.0,3.0,"B11_-1_3_1_Stitched[DAPI 377,447]_005.tif","B11_-1_2_1_Stitched[GFP 469,525]_005.tif",30
796.0,3.0,"B11_-1_3_1_Stitched[DAPI 377,447]_006.tif","B11_-1_2_1_Stitched[GFP 469,525]_006.tif",31
805.0,3.0,"B11_-1_3_1_Stitched[DAPI 377,447]_007.tif","B11_-1_2_1_Stitched[GFP 469,525]_007.tif",32
885.0,2.0,"B11_-1_3_1_Stitched[DAPI 377,447]_008.tif","B11_-1_2_1_Stitched[GFP 469,525]_008.tif",33
966.0,1.0,"B11_-1_3_1_Stitched[DAPI 377,447]_009.tif","B11_-1_2_1_Stitched[GFP 469,525]_009.tif",34
1048.0,9.0,"B11_-1_3_1_Stitched[DAPI 377,447]_010.tif","B11_-1_2_1_Stitched[GFP 469,525]_010.tif",35
1120.0,7.0,"B11_-1_3_1_Stitched[DAPI 377,447]_011.tif","B11_-1_2_1_Stitched[GFP 469,525]_011.tif",36
1308.0,7.0,"B11_-1_3_1_Stitched[DAPI 377,447]_012.tif","B11_-1_2_1_Stitched[GFP 469,525]_012.tif",37
1444.0,9.0,"B11_-1_3_1_Stitched[DAPI 377,447]_013.tif","B11_-1_2_1_Stitched[GFP 469,525]_013.tif",38
1578.0,12.0,"B11_-1_3_1_Stitched[DAPI 377,447]_014.tif","B11_-1_2_1_Stitched[GFP 469,525]_014.tif",39
1745.0,21.0,"B11_-1_3_1_Stitched[DAPI 377,447]_015.tif","B11_-1_2_1_Stitched[GFP 469,525]_015.tif",40
1930.0,14.0,"B11_-1_3_1_Stitched[DAPI 377,447]_016.tif","B11_-1_2_1_Stitched[GFP 469,525]_016.tif",41
2156.0,28.0,"B11_-1_3_1_Stitched[DAPI 377,447]_017.tif","B11_-1_2_1_Stitched[GFP 469,525]_017.tif",42
2301.0,26.0,"B11_-1_3_1_Stitched[DAPI 377,447]_018.tif","B11_-1_2_1_Stitched[GFP 469,525]_018.tif",43
