Count_bfp_objects,Count_gfp_objects,FileName_bfp,FileName_gfp,ImageNumber
9770.0,35.0,"B3_-1_3_1_Stitched[DAPI 377,447]_006.tif","B3_-1_2_1_Stitched[GFP 469,525]_006.tif",45
10310.0,32.0,"B3_-1_3_1_Stitched[DAPI 377,447]_007.tif","B3_-1_2_1_Stitched[GFP 469,525]_007.tif",46
10653.0,37.0,"B3_-1_3_1_Stitched[DAPI 377,447]_008.tif","B3_-1_2_1_Stitched[GFP 469,525]_008.tif",47
11087.0,30.0,"B3_-1_3_1_Stitched[DAPI 377,447]_009.tif","B3_-1_2_1_Stitched[GFP 469,525]_009.tif",48
11274.0,32.0,"B3_-1_3_1_Stitched[DAPI 377,447]_010.tif","B3_-1_2_1_Stitched[GFP 469,525]_010.tif",49
11541.0,35.0,"B3_-1_3_1_Stitched[DAPI 377,447]_011.tif","B3_-1_2_1_Stitched[GFP 469,525]_011.tif",50
11954.0,27.0,"B3_-1_3_1_Stitched[DAPI 377,447]_012.tif","B3_-1_2_1_Stitched[GFP 469,525]_012.tif",51
11847.0,35.0,"B3_-1_3_1_Stitched[DAPI 377,447]_013.tif","B3_-1_2_1_Stitched[GFP 469,525]_013.tif",52
7261.0,21.0,"B4_-1_3_1_Stitched[DAPI 377,447]_001.tif","B4_-1_2_1_Stitched[GFP 469,525]_001.tif",53
8016.0,26.0,"B4_-1_3_1_Stitched[DAPI 377,447]_002.tif","B4_-1_2_1_Stitched[GFP 469,525]_002.tif",54
8557.0,22.0,"B4_-1_3_1_Stitched[DAPI 377,447]_003.tif","B4_-1_2_1_Stitched[GFP 469,525]_003.tif",55
9164.0,20.0,"B4_-1_3_1_Stitched[DAPI 377,447]_004.tif","B4_-1_2_1_Stitched[GFP 469,525]_004.tif",56
9553.0,22.0,"B4_-1_3_1_Stitched[DAPI 377,447]_005.tif","B4_-1_2_1_Stitched[GFP 469,525]_005.tif",57
10242.0,19.0,"B4_-1_3_1_Stitched[DAPI 377,447]_006.tif","B4_-1_2_1_Stitched[GFP 469,525]_006.tif",58
10564.0,14.0,"B4_-1_3_1_Stitched[DAPI 377,447]_007.tif","B4_-1_2_1_Stitched[GFP 469,525]_007.tif",59
10777.0,18.0,"B4_-1_3_1_Stitched[DAPI 377,447]_008.tif","B4_-1_2_1_Stitched[GFP 469,525]_008.tif",60
11087.0,26.0,"B4_-1_3_1_Stitched[DAPI 377,447]_009.tif","B4_-1_2_1_Stitched[GFP 469,525]_009.tif",61
11281.0,28.0,"B4_-1_3_1_Stitched[DAPI 377,447]_010.tif","B4_-1_2_1_Stitched[GFP 469,525]_010.tif",62
11638.0,20.0,"B4_-1_3_1_Stitched[DAPI 377,447]_011.tif","B4_-1_2_1_Stitched[GFP 469,525]_011.tif",63
11749.0,22.0,"B4_-1_3_1_Stitched[DAPI 377,447]_012.tif","B4_-1_2_1_Stitched[GFP 469,525]_012.tif",64
12048.0,23.0,"B4_-1_3_1_Stitched[DAPI 377,447]_013.tif","B4_-1_2_1_Stitched[GFP 469,525]_013.tif",65
7407.0,17.0,"B5_-1_3_1_Stitched[DAPI 377,447]_001.tif","B5_-1_2_1_Stitched[GFP 469,525]_001.tif",66
8002.0,20.0,"B5_-1_3_1_Stitched[DAPI 377,447]_002.tif","B5_-1_2_1_Stitched[GFP 469,525]_002.tif",67
8450.0,25.0,"B5_-1_3_1_Stitched[DAPI 377,447]_003.tif","B5_-1_2_1_Stitched[GFP 469,525]_003.tif",68
9311.0,26.0,"B5_-1_3_1_Stitched[DAPI 377,447]_004.tif","B5_-1_2_1_Stitched[GFP 469,525]_004.tif",69
9694.0,28.0,"B5_-1_3_1_Stitched[DAPI 377,447]_005.tif","B5_-1_2_1_Stitched[GFP 469,525]_005.tif",70
9934.0,20.0,"B5_-1_3_1_Stitched[DAPI 377,447]_006.tif","B5_-1_2_1_Stitched[GFP 469,525]_006.tif",71
10395.0,14.0,"B5_-1_3_1_Stitched[DAPI 377,447]_007.tif","B5_-1_2_1_Stitched[GFP 469,525]_007.tif",72
10929.0,22.0,"B5_-1_3_1_Stitched[DAPI 377,447]_008.tif","B5_-1_2_1_Stitched[GFP 469,525]_008.tif",73
11080.0,23.0,"B5_-1_3_1_Stitched[DAPI 377,447]_009.tif","B5_-1_2_1_Stitched[GFP 469,525]_009.tif",74
11192.0,21.0,"B5_-1_3_1_Stitched[DAPI 377,447]_010.tif","B5_-1_2_1_Stitched[GFP 469,525]_010.tif",75
11332.0,27.0,"B5_-1_3_1_Stitched[DAPI 377,447]_011.tif","B5_-1_2_1_Stitched[GFP 469,525]_011.tif",76
11488.0,30.0,"B5_-1_3_1_Stitched[DAPI 377,447]_012.tif","B5_-1_2_1_Stitched[GFP 469,525]_012.tif",77
11254.0,35.0,"B5_-1_3_1_Stitched[DAPI 377,447]_013.tif","B5_-1_2_1_Stitched[GFP 469,525]_013.tif",78
7860.0,32.0,"B6_-1_3_1_Stitched[DAPI 377,447]_001.tif","B6_-1_2_1_Stitched[GFP 469,525]_001.tif",79
8393.0,31.0,"B6_-1_3_1_Stitched[DAPI 377,447]_002.tif","B6_-1_2_1_Stitched[GFP 469,525]_002.tif",80
9109.0,27.0,"B6_-1_3_1_Stitched[DAPI 377,447]_003.tif","B6_-1_2_1_Stitched[GFP 469,525]_003.tif",81
9087.0,39.0,"B6_-1_3_1_Stitched[DAPI 377,447]_004.tif","B6_-1_2_1_Stitched[GFP 469,525]_004.tif",82
9733.0,40.0,"B6_-1_3_1_Stitched[DAPI 377,447]_005.tif","B6_-1_2_1_Stitched[GFP 469,525]_005.tif",83
10188.0,39.0,"B6_-1_3_1_Stitched[DAPI 377,447]_006.tif","B6_-1_2_1_Stitched[GFP 469,525]_006.tif",84
