"Count_gfp_objects","Count_rfp_objects","FileName_gfp","FileName_rfp","ImageNumber"
88,269,"B10_-1_2_1_Stitched[GFP 469,525]_001.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_001.tif",1
47,410,"B10_-1_2_1_Stitched[GFP 469,525]_002.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_002.tif",2
6,478,"B10_-1_2_1_Stitched[GFP 469,525]_003.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_003.tif",3
3,592,"B10_-1_2_1_Stitched[GFP 469,525]_004.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_004.tif",4
5,608,"B10_-1_2_1_Stitched[GFP 469,525]_005.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_005.tif",5
6,670,"B10_-1_2_1_Stitched[GFP 469,525]_006.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_006.tif",6
5,778,"B10_-1_2_1_Stitched[GFP 469,525]_007.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_007.tif",7
5,861,"B10_-1_2_1_Stitched[GFP 469,525]_008.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_008.tif",8
5,991,"B10_-1_2_1_Stitched[GFP 469,525]_009.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_009.tif",9
4,1120,"B10_-1_2_1_Stitched[GFP 469,525]_010.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_010.tif",10
5,1238,"B10_-1_2_1_Stitched[GFP 469,525]_011.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_011.tif",11
4,1436,"B10_-1_2_1_Stitched[GFP 469,525]_012.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_012.tif",12
9,1570,"B10_-1_2_1_Stitched[GFP 469,525]_013.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_013.tif",13
10,1744,"B10_-1_2_1_Stitched[GFP 469,525]_014.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_014.tif",14
7,1912,"B10_-1_2_1_Stitched[GFP 469,525]_015.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_015.tif",15
8,2121,"B10_-1_2_1_Stitched[GFP 469,525]_016.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_016.tif",16
8,2322,"B10_-1_2_1_Stitched[GFP 469,525]_017.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_017.tif",17
9,2484,"B10_-1_2_1_Stitched[GFP 469,525]_018.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_018.tif",18
12,2820,"B10_-1_2_1_Stitched[GFP 469,525]_019.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_019.tif",19
11,3032,"B10_-1_2_1_Stitched[GFP 469,525]_020.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_020.tif",20
13,3373,"B10_-1_2_1_Stitched[GFP 469,525]_021.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_021.tif",21
13,3637,"B10_-1_2_1_Stitched[GFP 469,525]_022.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_022.tif",22
12,3699,"B10_-1_2_1_Stitched[GFP 469,525]_023.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_023.tif",23
