Count_gfp_objects,Count_rfp_objects,FileName_gfp,FileName_rfp,ImageNumber
24.0,2926.0,"B10_-1_2_1_Stitched[GFP 469,525]_001.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_001.tif",1
19.0,3125.0,"B10_-1_2_1_Stitched[GFP 469,525]_002.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_002.tif",2
19.0,3316.0,"B10_-1_2_1_Stitched[GFP 469,525]_003.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_003.tif",3
31.0,3594.0,"B10_-1_2_1_Stitched[GFP 469,525]_004.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_004.tif",4
29.0,3785.0,"B10_-1_2_1_Stitched[GFP 469,525]_005.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_005.tif",5
33.0,4147.0,"B10_-1_2_1_Stitched[GFP 469,525]_006.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_006.tif",6
44.0,4311.0,"B10_-1_2_1_Stitched[GFP 469,525]_007.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_007.tif",7
40.0,4471.0,"B10_-1_2_1_Stitched[GFP 469,525]_008.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_008.tif",8
39.0,4787.0,"B10_-1_2_1_Stitched[GFP 469,525]_009.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_009.tif",9
51.0,4873.0,"B10_-1_2_1_Stitched[GFP 469,525]_010.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_010.tif",10
63.0,5060.0,"B10_-1_2_1_Stitched[GFP 469,525]_011.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_011.tif",11
64.0,5372.0,"B10_-1_2_1_Stitched[GFP 469,525]_012.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_012.tif",12
74.0,5391.0,"B10_-1_2_1_Stitched[GFP 469,525]_013.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_013.tif",13
88.0,5443.0,"B10_-1_2_1_Stitched[GFP 469,525]_014.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_014.tif",14
70.0,5779.0,"B10_-1_2_1_Stitched[GFP 469,525]_015.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_015.tif",15
96.0,5743.0,"B10_-1_2_1_Stitched[GFP 469,525]_016.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_016.tif",16
101.0,5836.0,"B10_-1_2_1_Stitched[GFP 469,525]_017.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_017.tif",17
132.0,5934.0,"B10_-1_2_1_Stitched[GFP 469,525]_018.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_018.tif",18
127.0,5965.0,"B10_-1_2_1_Stitched[GFP 469,525]_019.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_019.tif",19
