Count_gfp_objects,Count_rfp_objects,FileName_gfp,FileName_rfp,ImageNumber
1144.0,961.0,"B10_-1_2_1_Stitched[GFP 469,525]_001.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_001.tif",1
1168.0,1064.0,"B10_-1_2_1_Stitched[GFP 469,525]_002.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_002.tif",2
1182.0,1236.0,"B10_-1_2_1_Stitched[GFP 469,525]_003.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_003.tif",3
1221.0,1344.0,"B10_-1_2_1_Stitched[GFP 469,525]_004.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_004.tif",4
1234.0,1443.0,"B10_-1_2_1_Stitched[GFP 469,525]_005.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_005.tif",5
1268.0,1590.0,"B10_-1_2_1_Stitched[GFP 469,525]_006.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_006.tif",6
1280.0,1684.0,"B10_-1_2_1_Stitched[GFP 469,525]_007.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_007.tif",7
1245.0,1837.0,"B10_-1_2_1_Stitched[GFP 469,525]_008.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_008.tif",8
1279.0,1939.0,"B10_-1_2_1_Stitched[GFP 469,525]_009.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_009.tif",9
1305.0,2141.0,"B10_-1_2_1_Stitched[GFP 469,525]_010.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_010.tif",10
1245.0,2179.0,"B10_-1_2_1_Stitched[GFP 469,525]_011.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_011.tif",11
1203.0,2421.0,"B10_-1_2_1_Stitched[GFP 469,525]_012.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_012.tif",12
1149.0,2518.0,"B10_-1_2_1_Stitched[GFP 469,525]_013.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_013.tif",13
1189.0,2625.0,"B10_-1_2_1_Stitched[GFP 469,525]_014.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_014.tif",14
1103.0,2764.0,"B10_-1_2_1_Stitched[GFP 469,525]_015.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_015.tif",15
1024.0,2801.0,"B10_-1_2_1_Stitched[GFP 469,525]_016.tif","B10_-1_3_1_Stitched[Texas Red 586,647]_016.tif",16
